SlIdi,AtIdi,RcIdi,OgIdi,EcispA,KaispA,JcispA,SeispA,BaispA,PacrtE,KpcrtE,HpcrtE,NicrtE,ShcrtE,PacrtB,KpcrtB,LacrtB,RccrtB,SicrtB,PacrtI,ErcrtI,SscrtI,BvcrtI,LacrtI,Idi_conc,ispA_conc,CrtE_conc,CrtB_conc,CrtI_conc
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,1.0,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.25,0.25,0.25,1.0,0.25
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.1,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.1,0.25,0.25
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.5,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0.25,0.25,0.5,0.25
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,1.0,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.1,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.5,0.25,0.25
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.5,0.25,0.25
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.1,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,1.0,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.25,0.1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.25,0.5
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.25,0.25,0.25,0.25
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,1.0,0.25,0.25,0.25
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.25,0.25
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,1.0,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.25,1.0
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,1.0,0.25,0.25
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.1,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0.25
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.25,0.25,0.25,0.25
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0.5,0.25,0.25
